#			RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE       VSYS       VMEAS      VSYSERR    
 179.98602    0.02728   22.32691   22.05926    0.03066    0.01692   16.05273    8.49536    3.25177   11.46100    2.00000
 180.02347   -0.01408   22.24614   21.98498    0.02737    0.01511   17.02775   -5.54722   -2.21435   -8.00697    2.00000
 180.00929    0.12947   23.81756   23.36059    0.12980    0.07164    5.10007   -6.09371   -0.50442  -10.64396    2.00000
 179.98341    0.07375   23.14502   22.79252    0.07559    0.04172    8.52932    0.71051    2.06902    1.58393    2.00000
 180.01891    0.04758   22.31971   22.05263    0.05120    0.02826   16.13173   -1.63845    0.27410   -1.57400    2.00000
 179.86327    0.34908   21.08577   20.82687    0.37490    0.20692   45.36505    3.00142    0.40597    3.35681    2.00000
 179.99911    0.02440   22.26927   22.00624    0.02441    0.01348   16.68408    0.50911   -1.99453   -1.29851    2.00000
 179.97197   -0.00398   21.77740   21.54857    0.02831    0.01562   24.85366    0.52342   -0.32221   -0.05117    2.00000
 180.03819   -0.08456   23.64149   23.21489    0.09279    0.05121    5.83362   -1.22580   -1.03913   -1.33298    2.00000
 180.07997    0.05338   22.23072   21.97081    0.09615    0.05307   17.28194   -0.20858   -1.72109   -2.62724    2.00000
 180.06328   -0.09215   22.86631   22.54704    0.11179    0.06170   10.43873   -3.00748    1.78219   -2.34920    2.00000
 179.98595   -0.03501   23.75327   23.30752    0.03773    0.02083    5.36726    4.93735   -2.33468   -2.82229    2.00000
 180.02357   -0.03170   22.55206   22.26550    0.03951    0.02181   13.59698   -2.73511    2.75085    0.46652    2.00000
 180.02194   -0.01751   22.34851   22.07917    0.02807    0.01549   15.81575    2.86570    1.71802    4.46268    2.00000
 180.04762    0.07375   22.59845   22.30724    0.08779    0.04845   13.09987   -1.10643   -1.65786   -3.97846    2.00000
 180.15347   -0.22881   22.10466   21.85502    0.27551    0.15206   19.35823    3.51722    0.24154    4.47560    2.00000
 179.99748    0.05302   21.88886   21.65318    0.05308    0.02930   22.97774   -0.21415    1.27131    0.66604    2.00000
 180.06389   -0.04768   23.61418   23.19208    0.07973    0.04400    5.94847    2.56553    2.24701    2.90444    2.00000
 179.94394   -0.00490   21.75359   21.52560    0.05627    0.03106   25.26545    2.33196   -0.44454    2.21075    2.00000
 180.00940   -0.10561   23.67377   23.24168    0.10603    0.05852    5.69872   -4.92957    3.18672    3.71101    2.00000
 180.03439    0.04634   23.71680   23.27733    0.05771    0.03185    5.51926   -1.35695   -0.29900    7.47186    2.00000
 179.97864    0.02180   23.33088   22.95280    0.03052    0.01684    7.28260   -2.68268    0.10990   -4.41784    2.00000
 179.94823    0.01997   23.00503   22.67012    0.05550    0.03063    9.48139    1.30248    0.16096    0.17015    2.00000
 179.59274   -0.15299   22.92630   22.60050    0.43504    0.24011   10.02285   -0.76758    4.33131    3.31669    2.00000
 179.99478    0.08259   22.09846   21.84912    0.08276    0.04568   19.46397    2.52886   -1.90969    1.01961    2.00000
 179.91725    0.02262   22.91587   22.59121    0.08579    0.04735   10.09518    3.71934   -2.53173    1.10341    2.00000
 180.08421    0.00540   22.05303   21.80627    0.08438    0.04657   20.23250    1.80701   -3.52766   -0.46312    2.00000
 180.00052    0.01051   21.80176   21.57153    0.01053    0.00581   24.44187    5.35979    0.76507    6.57824    2.00000
 179.99106   -0.09917   23.37715   22.99200    0.09957    0.05496    6.97770    0.75223   -0.87317   -2.73980    2.00000
 179.94963   -0.05587   23.76279   23.31538    0.07522    0.04152    5.32768    1.29118   -3.32732   -4.68659    2.00000
 179.97977   -0.00412   23.46665   23.06778    0.02065    0.01140    6.57425    0.05099    0.77806   11.11221    2.00000
 180.03177    0.01960   22.80223   22.48986    0.03733    0.02060   10.92537   -2.05996   -3.30199   -6.46959    2.00000
 180.03365   -0.05042   21.45286   21.23101    0.06061    0.03345   32.80028    3.41534    0.64757    4.11724    2.00000
 180.07451    0.01356   22.53565   22.25055    0.07573    0.04180   13.77500    4.79589   -0.11829    2.48335    2.00000
 179.95126    0.13685   20.67453   20.23797    0.14527    0.08018   71.11876   -4.50513    0.81980   -3.60387    2.00000
 180.11804    0.04639   22.13231   21.88056    0.12683    0.07000   18.90020    0.54030   -1.17467    0.21547    2.00000
 180.02339   -0.01387   23.02980   22.69182    0.02719    0.01501    9.31257   -2.05998    0.96868   -1.56553    2.00000
 179.94633    0.02282   23.15958   22.80519    0.05832    0.03219    8.43077   -2.61547   -3.00505   -4.18003    2.00000
 180.08112   -0.00787   23.80804   23.35273    0.08150    0.04498    5.13965    0.04878    0.02725   -0.20475    2.00000
 180.05333   -0.08899   23.84138   23.38025    0.10375    0.05726    5.00111    5.61271    2.35786   16.15649    2.00000
 179.97195   -0.00743   23.76755   23.31931    0.02901    0.01601    5.30789    4.86984    1.06109    0.71921    2.00000
 179.97482   -0.00558   22.78976   22.47871    0.02578    0.01423   11.05815    3.30180   -6.25700    0.23027    2.00000
 179.96883    0.00394   22.75732   22.44971    0.03142    0.01734   11.40338   -1.36782   -2.21683   -5.07623    2.00000
