#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE       VSYS       VMEAS      VSYSERR    
 180.92412   -0.48373   23.34994   22.96895    1.04306    0.57575    7.15705  -12.21573    3.21155  -11.03353    2.00000
 179.93111    0.06995   23.15227   22.79884    0.09818    0.05419    8.48017   -0.82993    3.18511    3.10135    2.00000
 179.89095    0.14099   21.60145   21.37903    0.17825    0.09838   28.90662    6.12834    0.25169    5.71934    2.00000
 180.00539   -0.04321   22.18959   21.93301    0.04354    0.02403   17.95978   -0.73121   -3.44692   -5.65761    2.00000
 180.01256   -0.00528   23.66067   23.23084    0.01362    0.00752    5.75334   -1.26828    1.42155   -0.46256    2.00000
 180.04108   -0.00885   23.00180   22.66728    0.04202    0.02319    9.50344    0.01877   -0.43572   -3.49525    2.00000
 179.95180   -0.03585   21.34976   21.12548    0.06007    0.03315   35.57606    2.46411   -1.18012    1.36539    2.00000
 180.00282   -0.07757   22.98349   22.65122    0.07762    0.04284    9.62840    5.51061   -0.33007    7.01489    2.00000
 179.99809    0.01674   21.50354   21.28279    0.01684    0.00930   31.43821    1.10337    0.38719    1.51792    2.00000
 179.98817    0.02376   22.02014   21.77565    0.02655    0.01465   20.78155   -2.34120   -0.95413   -3.24332    2.00000
 180.01764   -0.06633   23.02740   22.68972    0.06864    0.03788    9.32889   -3.78849   -2.22654   -6.31389    2.00000
 180.00615   -0.01674   22.27441   22.01097    0.01783    0.00984   16.62782   10.18412   -2.29218    7.19345    2.00000
 180.03770   -0.02593   23.18397   22.82636    0.04576    0.02526    8.26612    1.85039   -1.41590    2.87712    2.00000
 179.94785    0.02993   23.49908   23.09523    0.06013    0.03319    6.43608   -0.27539    0.54572   -2.78586    2.00000
 179.97903    0.02301   21.82354   21.59194    0.03112    0.01718   24.07584   -3.45424   -0.58913   -4.49228    2.00000
 180.09325    0.10652   21.99000   21.74758    0.14157    0.07813   21.28484    4.59096   -0.21386    4.40626    2.00000
 179.88245    0.04445   22.44191   22.16512    0.12568    0.06936   14.79225   -0.23353   -0.70301   -1.08693    2.00000
 180.02090   -0.00487   21.54500   21.32477    0.02147    0.01185   30.33394    4.99741   -0.79152    4.07897    2.00000
 179.98506    0.13477   21.57809   21.35658    0.13559    0.07484   29.49724    0.12562    4.05794    3.97701    2.00000
 179.89362   -0.11151   22.13231   21.88056    0.15411    0.08506   18.90020    2.25725   -0.06468    3.14572    2.00000
 179.95949    0.05826   23.49638   23.09294    0.07096    0.03917    6.44760   -0.82009   -1.45766   -0.71821    2.00000
 179.99158    0.00582   20.79277   20.38646    0.01024    0.00565   63.46611    4.74902    0.20265    4.63642    2.00000
 179.97993   -0.01503   23.15958   22.80519    0.02507    0.01384    8.43077   -2.91525   -0.64428   -3.25850    2.00000
 180.00134   -0.11267   23.70183   23.26493    0.11268    0.06219    5.58168   -0.28573   -0.19958   -5.49531    2.00000
 180.02731   -0.17797   22.95760   22.62840    0.18005    0.09937    9.80587   -0.49342   -1.21267   -1.93431    2.00000
 179.94051    0.00752   21.09921   20.84320    0.05998    0.03310   44.75307   -1.16828   -1.00281   -2.40980    2.00000
 180.05420    0.01098   23.51530   23.10895    0.05530    0.03052    6.36700    0.55354   -2.75609   -0.96912    2.00000
 180.04417    0.00792   20.89187   20.54348    0.04489    0.02477   55.98541    3.47737   -0.05223    3.83004    2.00000
 180.04881   -0.12659   23.57883   23.16256    0.13567    0.07488    6.09710   -1.22960    0.55168   -5.70592    2.00000
 179.86183   -0.10004   21.11563   20.86316    0.17059    0.09415   44.00510    0.45750    0.34604    0.64248    2.00000
 180.02058    0.01728   23.09941   22.75266    0.02688    0.01483    8.83936   -3.03658    0.68741   -0.46455    2.00000
 180.01080   -0.04226   22.07367   21.82554    0.04362    0.02407   19.88694   -3.41820    1.17289   -3.41995    2.00000
 180.00941    0.06115   23.11141   22.76315    0.06187    0.03415    8.75777    0.07243    1.13341    1.07868    2.00000
 179.97340    0.18788   20.97305   20.67358    0.18975    0.10473   51.10986   -1.48667   -1.39193   -2.34416    2.00000
 180.07310   -0.10625   21.43721   21.21502    0.12897    0.07118   33.22087   -2.10611    1.76523    0.59771    2.00000
 179.91629   -0.03165   23.21322   22.85176    0.08949    0.04939    8.06855    2.33768    1.18511    2.42229    2.00000
 179.98364    0.02250   21.71919   21.49243    0.02781    0.01535   25.92361   -7.17821   -2.51655   -9.56039    2.00000
 179.99333    0.01120   23.29278   22.92052    0.01304    0.00720    7.53369    2.52260   -1.42166   -0.45636    2.00000
 180.01215   -0.00305   22.88196   22.56098    0.01253    0.00692   10.33024   -5.61774   -1.32385   -9.01811    2.00000
 180.03035    0.04271   22.13670   21.88457    0.05239    0.02892   18.82835   -2.97084   -3.05412   -6.40959    2.00000
 180.01201   -0.01444   23.73738   23.29438    0.01878    0.01037    5.43343    4.02269    0.16473    5.09131    2.00000
 180.02872   -0.00858   23.07781   22.73378    0.02997    0.01654    8.98622   -2.16167   -1.55751   -5.03954    2.00000
 180.02475   -0.01342   18.30369   17.71089    0.02816    0.01554  335.12155    1.52204   -0.45399    1.05812    2.00000
 180.01263    0.06898   22.36772   22.09686    0.07012    0.03870   15.60510   -2.37006   -1.22252   -2.97547    2.00000
 179.97739   -0.24242   22.99534   22.66161    0.24348    0.13438    9.54754   -0.94994    2.63688   -2.37675    2.00000
 180.19797   -0.20662   22.24871   21.98734    0.28616    0.15794   16.98538   -5.25018   -0.79070   -7.37045    2.00000
 179.64236   -0.02554   22.03384   21.78841    0.35855    0.19789   20.55278   -3.84641    0.33208   -3.72178    2.00000
 179.88358   -0.04244   22.97487   22.64366    0.12391    0.06839    9.68720   -0.26671    2.64753    2.62787    2.00000
 179.82303    0.01895   23.19128   22.83271    0.17798    0.09823    8.21673    1.97883    0.53474   -2.24477    2.00000
 180.02939    0.02138   23.24736   22.88139    0.03635    0.02006    7.83804   -2.05594   -0.32733   -1.04785    2.00000
 180.02158   -0.12371   22.03658   21.79096    0.12558    0.06931   20.50702   -2.69032   -2.21035   -5.85540    2.00000
 179.97630    0.03900   22.49347   22.21210    0.04563    0.02519   14.23276    1.11631    1.24023    1.69124    2.00000
 179.98753   -0.03505   23.34721   22.96664    0.03720    0.02053    7.17499   -0.30043   -3.32930   -4.28923    2.00000
 180.00288   -0.00907   23.80327   23.34880    0.00951    0.00525    5.15945   -0.85765    1.38273   -6.30582    2.00000
